"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"NW9F5751895","NW9F","INFORMATION PLANET ","SAB","SAB","5751895","PROSPECT","RENATA","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","9","          -   ","          -   ","          -   ","  "
"2ELG5751229","2ELG","MONÇÕES TURISMO","SAB","SAB","5751229","PROSPECT","PROSPECT","TOUR OPERATOR","SOROCABA","SP","SUDESTE","70","          -   ","          -   ","          -   ","  "
"AA9F5752440","AA9F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","168","          -   ","          -   ","          -   ","  "
"1OFF9999999","1OFF","PERSONAL TURISMO ","SAB","SAB","9999999","PROSPECT","PROSPECT","TOUR OPERATOR","CAMPO GRANDE","MS","CENTRO-OESTE","180","          -   ","          -   ","          -   ","  "
"K5EG9999999","K5EG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","PEDREIRA","SP","SUDESTE","185","          -   ","          -   ","          -   ","  "
"JB4G9999999","JB4G","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","GUARULHOS","SP","SUDESTE","370","          -   ","          -   ","          -   ","  "
"9GW95752440","9GW9","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","188","          -   ","          -   ","          -   ","  "
"01EF5752440","01EF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","126","          -   ","          -   ","          -   ","  "
"HJ9F5752440","HJ9F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","169","          -   ","          -   ","          -   ","  "
"W5MG9999999","W5MG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","BELEM","PA","NORTE","193","          -   ","          -   ","          -   ","  "
"Y4UG9999999","Y4UG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","VILHENA","RO","NORTE","115","          -   ","          -   ","          -   ","  "
"90SG9999999","90SG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","262","","          -   ","          -   ",""
"K5FG9999999","K5FG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","177","          -   ","          -   ","          -   ","  "
"3XUF5752440","3XUF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","190","          -   ","          -   ","          -   ","  "
"83NC5752440","83NC","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","265","          -   ","          -   ","          -   ","  "
"2XRF5752440","2XRF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","130","          -   ","          -   ","          -   ","  "
